Prompt ID,Skill Name,Skill Purpose,User Scenario,Prompt,Attached Files,Final Answer Link
A27,webpack-config-builder,Generate Webpack configuration files for bundling applications,Frontend developer configuring Webpack for React app,Create Webpack config for React TypeScript with optimization,none,https://github.com/ehtbanton/ClaudeSkillsRepo/tree/main/webpack-config-builder
A28,vite-config-generator,Generate Vite configuration files for fast frontend development,Developer setting up Vite for React project,Create Vite config for React TypeScript with path aliases,none,https://github.com/ehtbanton/ClaudeSkillsRepo/tree/main/vite-config-generator
A29,prettier-config-generator,Generate Prettier configuration files for code formatting,Developer standardizing code formatting across team,Create Prettier config with consistent styling rules,none,https://github.com/ehtbanton/ClaudeSkillsRepo/tree/main/prettier-config-generator
A30,babel-config-builder,Generate Babel configuration files for JavaScript transpilation,Developer setting up Babel for React project,Create Babel config for React TypeScript with modern presets,none,https://github.com/ehtbanton/ClaudeSkillsRepo/tree/main/babel-config-builder
A31,tailwind-config-generator,Generate Tailwind CSS configuration with custom themes,Frontend developer customizing Tailwind for brand colors,Create Tailwind config with custom color palette and fonts,none,https://github.com/ehtbanton/ClaudeSkillsRepo/tree/main/tailwind-config-generator
A32,postcss-config-builder,Generate PostCSS configuration files for CSS processing,Developer setting up CSS processing pipeline,Create PostCSS config with Tailwind and autoprefixer,none,https://github.com/ehtbanton/ClaudeSkillsRepo/tree/main/postcss-config-builder
A33,cypress-test-generator,Generate Cypress E2E test files and configuration,QA engineer setting up E2E testing for web app,Create Cypress config and sample login test,none,https://github.com/ehtbanton/ClaudeSkillsRepo/tree/main/cypress-test-generator
A34,playwright-config-generator,Generate Playwright configuration for cross-browser testing,QA engineer setting up cross-browser testing,Create Playwright config with Chrome Firefox and Safari,none,https://github.com/ehtbanton/ClaudeSkillsRepo/tree/main/playwright-config-generator
A35,vitest-config-generator,Generate Vitest configuration files for unit testing,Developer setting up fast unit testing for React,Create Vitest config with jsdom and coverage,none,https://github.com/ehtbanton/ClaudeSkillsRepo/tree/main/vitest-config-generator
A36,dockerignore-generator,Generate .dockerignore files to optimize Docker builds,DevOps engineer optimizing Docker build context,Create .dockerignore for Node.js project,none,https://github.com/ehtbanton/ClaudeSkillsRepo/tree/main/dockerignore-generator
A37,editorconfig-generator,Generate .editorconfig files for consistent coding styles,Team lead standardizing editor settings across team,Create .editorconfig for web project with multiple file types,none,https://github.com/ehtbanton/ClaudeSkillsRepo/tree/main/editorconfig-generator
A38,commitlint-config-generator,Generate commitlint configuration for conventional commits,Developer enforcing commit message standards,Create commitlint config for conventional commits,none,https://github.com/ehtbanton/ClaudeSkillsRepo/tree/main/commitlint-config-generator
A39,husky-hooks-generator,Generate Husky Git hooks for pre-commit automation,Developer setting up pre-commit checks,Create Husky hooks for lint-staged and tests,none,https://github.com/ehtbanton/ClaudeSkillsRepo/tree/main/husky-hooks-generator
A40,lint-staged-config-generator,Generate lint-staged configuration for staged file linting,Developer running linters only on staged files,Create lint-staged config for TypeScript and CSS,none,https://github.com/ehtbanton/ClaudeSkillsRepo/tree/main/lint-staged-config-generator
A41,stylelint-config-generator,Generate Stylelint configuration for CSS/SCSS linting,Frontend developer setting up CSS linting,Create Stylelint config for Tailwind CSS project,none,https://github.com/ehtbanton/ClaudeSkillsRepo/tree/main/stylelint-config-generator
A42,rollup-config-generator,Generate Rollup configuration for library bundling,Library author bundling TypeScript library,Create Rollup config for TypeScript library with ESM and CJS,none,https://github.com/ehtbanton/ClaudeSkillsRepo/tree/main/rollup-config-generator
A43,esbuild-config-generator,Generate esbuild configuration for fast bundling,Developer setting up fast build pipeline,Create esbuild config for Node.js API,none,https://github.com/ehtbanton/ClaudeSkillsRepo/tree/main/esbuild-config-generator
A44,swc-config-generator,Generate SWC configuration for fast compilation,Developer replacing Babel with SWC,Create SWC config for React TypeScript,none,https://github.com/ehtbanton/ClaudeSkillsRepo/tree/main/swc-config-generator
A45,turbo-config-generator,Generate Turborepo configuration for monorepo builds,Developer setting up monorepo build system,Create Turbo config with build test and lint pipelines,none,https://github.com/ehtbanton/ClaudeSkillsRepo/tree/main/turbo-config-generator
A46,pnpm-workspace-generator,Generate pnpm workspace configuration for monorepos,Developer setting up pnpm monorepo,Create pnpm-workspace.yaml for apps and packages,none,https://github.com/ehtbanton/ClaudeSkillsRepo/tree/main/pnpm-workspace-generator
A47,changesets-config-generator,Generate Changesets configuration for versioning,Developer setting up semantic versioning,Create Changesets config for monorepo,none,https://github.com/ehtbanton/ClaudeSkillsRepo/tree/main/changesets-config-generator
A48,semantic-release-config,Generate semantic-release configuration for automated releases,Developer automating npm package releases,Create semantic-release config with changelog and npm publish,none,https://github.com/ehtbanton/ClaudeSkillsRepo/tree/main/semantic-release-config
A49,renovate-config-generator,Generate Renovate configuration for dependency updates,Developer automating dependency updates,Create Renovate config with automerge rules,none,https://github.com/ehtbanton/ClaudeSkillsRepo/tree/main/renovate-config-generator
A50,dependabot-config-generator,Generate Dependabot configuration for GitHub dependency updates,Developer setting up Dependabot for repository,Create Dependabot config for npm and GitHub Actions,none,https://github.com/ehtbanton/ClaudeSkillsRepo/tree/main/dependabot-config-generator
A51,express-router-generator,Generate Express.js router files with RESTful endpoints,Backend developer creating user management API,Create Express router for users with CRUD endpoints,none,https://github.com/ehtbanton/ClaudeSkillsRepo/tree/main/express-router-generator
A52,fastapi-endpoint-generator,Generate FastAPI endpoint files with Pydantic models,Python developer creating product API,Create FastAPI router for products with async handlers,none,https://github.com/ehtbanton/ClaudeSkillsRepo/tree/main/fastapi-endpoint-generator
A53,nextjs-page-generator,Generate Next.js page components with App Router,Frontend developer creating product listing page,Create Next.js page for products with Server Components,none,https://github.com/ehtbanton/ClaudeSkillsRepo/tree/main/nextjs-page-generator
A54,nestjs-module-generator,Generate NestJS module files with controllers and services,Backend developer creating orders module,Create NestJS module for orders with CRUD operations,none,https://github.com/ehtbanton/ClaudeSkillsRepo/tree/main/nestjs-module-generator
A55,mongodb-schema-generator,Generate MongoDB/Mongoose schema files with validation,Backend developer modeling blog posts,Create Mongoose schema for blog posts with indexes,none,https://github.com/ehtbanton/ClaudeSkillsRepo/tree/main/mongodb-schema-generator
A56,redis-config-generator,Generate Redis configuration and client connection code,Backend developer setting up caching layer,Create Redis config and cache utilities for Node.js,none,https://github.com/ehtbanton/ClaudeSkillsRepo/tree/main/redis-config-generator
A57,gitlab-ci-config-generator,Generate GitLab CI/CD pipeline configuration files,DevOps engineer setting up GitLab CI,Create GitLab CI config for Node.js with Docker deploy,none,https://github.com/ehtbanton/ClaudeSkillsRepo/tree/main/gitlab-ci-config-generator
A58,circleci-config-generator,Generate CircleCI configuration files with workflows,DevOps engineer setting up CircleCI,Create CircleCI config for Node.js application,none,https://github.com/ehtbanton/ClaudeSkillsRepo/tree/main/circleci-config-generator
A59,jenkins-pipeline-generator,Generate Jenkins pipeline files with declarative syntax,DevOps engineer setting up Jenkins CI,Create Jenkinsfile for Node.js with Docker,none,https://github.com/ehtbanton/ClaudeSkillsRepo/tree/main/jenkins-pipeline-generator
A60,helm-chart-generator,Generate Helm chart files for Kubernetes deployment,DevOps engineer packaging app for Kubernetes,Create Helm chart for web application,none,https://github.com/ehtbanton/ClaudeSkillsRepo/tree/main/helm-chart-generator
A61,ansible-playbook-generator,Generate Ansible playbook files for infrastructure automation,DevOps engineer automating server setup,Create Ansible playbook for web server configuration,none,https://github.com/ehtbanton/ClaudeSkillsRepo/tree/main/ansible-playbook-generator
A62,vagrant-config-generator,Generate Vagrant configuration for local development,Developer setting up local VM environment,Create Vagrantfile for Node.js development,none,https://github.com/ehtbanton/ClaudeSkillsRepo/tree/main/vagrant-config-generator
A63,csp-header-generator,Generate Content Security Policy configurations,Security engineer hardening web application,Create CSP headers for React SPA,none,https://github.com/ehtbanton/ClaudeSkillsRepo/tree/main/csp-header-generator
A64,cors-config-generator,Generate CORS configuration for API cross-origin access,Backend developer configuring API CORS,Create CORS config for production API,none,https://github.com/ehtbanton/ClaudeSkillsRepo/tree/main/cors-config-generator
A65,helmet-config-generator,Generate Helmet.js security middleware configuration,Backend developer securing Express API,Create Helmet config with all security headers,none,https://github.com/ehtbanton/ClaudeSkillsRepo/tree/main/helmet-config-generator
A66,jwt-config-generator,Generate JWT authentication configuration and utilities,Backend developer implementing authentication,Create JWT config with sign verify and refresh,none,https://github.com/ehtbanton/ClaudeSkillsRepo/tree/main/jwt-config-generator
A67,oauth-config-generator,Generate OAuth 2.0 configuration for social login,Backend developer adding social authentication,Create OAuth config for Google and GitHub,none,https://github.com/ehtbanton/ClaudeSkillsRepo/tree/main/oauth-config-generator
A68,jsdoc-template-generator,Generate JSDoc configuration and documentation templates,Developer setting up API documentation,Create JSDoc config for TypeScript library,none,https://github.com/ehtbanton/ClaudeSkillsRepo/tree/main/jsdoc-template-generator
A69,swagger-docs-generator,Generate Swagger UI setup for API documentation,Backend developer documenting REST API,Create Swagger docs setup for Express API,none,https://github.com/ehtbanton/ClaudeSkillsRepo/tree/main/swagger-docs-generator
A70,readme-template-generator,Generate comprehensive README.md templates,Developer documenting open source project,Create README for npm package with badges,none,https://github.com/ehtbanton/ClaudeSkillsRepo/tree/main/readme-template-generator
A71,changelog-generator,Generate CHANGELOG.md files following Keep a Changelog,Developer tracking version history,Create CHANGELOG with initial release,none,https://github.com/ehtbanton/ClaudeSkillsRepo/tree/main/changelog-generator
A72,contributing-guide-generator,Generate CONTRIBUTING.md files for open source projects,Maintainer documenting contribution process,Create contributing guide for open source project,none,https://github.com/ehtbanton/ClaudeSkillsRepo/tree/main/contributing-guide-generator
A73,license-file-generator,Generate LICENSE files for open source projects,Developer choosing project license,Create MIT license file,none,https://github.com/ehtbanton/ClaudeSkillsRepo/tree/main/license-file-generator
A74,code-of-conduct-generator,Generate CODE_OF_CONDUCT.md based on Contributor Covenant,Maintainer establishing community guidelines,Create code of conduct for open source project,none,https://github.com/ehtbanton/ClaudeSkillsRepo/tree/main/code-of-conduct-generator
A75,issue-template-generator,Generate GitHub issue templates for bug reports and features,Maintainer standardizing issue reporting,Create GitHub issue templates for bugs and features,none,https://github.com/ehtbanton/ClaudeSkillsRepo/tree/main/issue-template-generator
A76,react-native-component-generator,Generate React Native components with TypeScript and styling,Mobile developer building cross-platform app,Create React Native button component with variants,none,https://github.com/ehtbanton/ClaudeSkillsRepo/tree/main/react-native-component-generator
A77,flutter-widget-generator,Generate Flutter widget files with Dart and theming,Mobile developer building Flutter app,Create Flutter button widget with variants and animations,none,https://github.com/ehtbanton/ClaudeSkillsRepo/tree/main/flutter-widget-generator
A78,expo-config-generator,Generate Expo configuration files for React Native,Mobile developer setting up Expo project,Create Expo config for production app,none,https://github.com/ehtbanton/ClaudeSkillsRepo/tree/main/expo-config-generator
A79,angular-component-generator,Generate Angular components with TypeScript and templates,Frontend developer building Angular app,Create Angular button component with standalone setup,none,https://github.com/ehtbanton/ClaudeSkillsRepo/tree/main/angular-component-generator
A80,svelte-component-generator,Generate Svelte components with TypeScript and scoped styles,Frontend developer building Svelte app,Create Svelte button component with variants,none,https://github.com/ehtbanton/ClaudeSkillsRepo/tree/main/svelte-component-generator
A81,vue-component-generator,Generate Vue 3 components with Composition API and TypeScript,Frontend developer building Vue 3 app,Create Vue button component with script setup,none,https://github.com/ehtbanton/ClaudeSkillsRepo/tree/main/vue-component-generator
A82,solid-component-generator,Generate SolidJS components with TypeScript and signals,Frontend developer building SolidJS app,Create SolidJS button component with reactivity,none,https://github.com/ehtbanton/ClaudeSkillsRepo/tree/main/solid-component-generator
A83,qwik-component-generator,Generate Qwik components with resumability and TypeScript,Frontend developer building Qwik app,Create Qwik button component with patterns,none,https://github.com/ehtbanton/ClaudeSkillsRepo/tree/main/qwik-component-generator
A84,astro-page-generator,Generate Astro pages with islands architecture,Frontend developer building Astro site,Create Astro blog post page with content collection,none,https://github.com/ehtbanton/ClaudeSkillsRepo/tree/main/astro-page-generator
A85,nuxt-page-generator,Generate Nuxt 3 page components with Vue 3 Composition API,Frontend developer building Nuxt app,Create Nuxt product listing page with data fetching,none,https://github.com/ehtbanton/ClaudeSkillsRepo/tree/main/nuxt-page-generator
A86,remix-route-generator,Generate Remix route files with loaders actions and meta,Frontend developer building Remix app,Create Remix product listing route with loader,none,https://github.com/ehtbanton/ClaudeSkillsRepo/tree/main/remix-route-generator
A87,sveltekit-page-generator,Generate SvelteKit pages with load functions and forms,Frontend developer building SvelteKit app,Create SvelteKit blog listing page with load function,none,https://github.com/ehtbanton/ClaudeSkillsRepo/tree/main/sveltekit-page-generator
A88,trpc-router-generator,Generate tRPC routers with typed procedures and Zod schemas,Backend developer building type-safe API,Create tRPC users router with CRUD procedures,none,https://github.com/ehtbanton/ClaudeSkillsRepo/tree/main/trpc-router-generator
A89,tanstack-query-hook,Generate TanStack Query hooks for data fetching and mutations,Frontend developer implementing data fetching,Create TanStack Query hooks for products API,none,https://github.com/ehtbanton/ClaudeSkillsRepo/tree/main/tanstack-query-hook
A90,zustand-store-generator,Generate Zustand store files with TypeScript and middleware,Frontend developer implementing state management,Create Zustand cart store with persist middleware,none,https://github.com/ehtbanton/ClaudeSkillsRepo/tree/main/zustand-store-generator
